player_id,player_name,height,hand,avg_minutes,avg_aces,avg_df,avg_svpt,avg_first_in,avg_first_won,avg_second_won,avg_sv_gms,avg_bp_saved,avg_bp_faced,Wins,Losses,Matches_Played,Win_Pct,titles_won
105453,Kei Nishikori,178,R,118.56,3.28,2.33,82.44,51.06,35.89,16.98,12.95,4.14,6.62,254,120,374,67.91,4
105454,Brydan Klein,183,R,104.83,7.5,5.0,82.67,48.17,35.67,14.67,12.67,3.5,6.67,1,6,7,14.29,
105464,Christopher Rungkat,175,R,87.0,5.5,2.0,61.5,37.0,26.5,15.5,10.5,4.0,5.0,5,0,5,100.0,
105477,Marco Trungelliti,178,R,120.78,4.03,3.86,88.51,51.92,34.95,17.84,13.43,5.38,9.0,15,22,37,40.54,
105487,Facundo Bagnis,183,L,108.94,4.85,3.05,77.59,48.08,32.21,14.75,11.81,4.79,7.84,41,80,121,33.879999999999995,
105493,Tomislav Brkic,185,R,147.25,8.5,3.0,120.25,81.0,58.5,18.75,18.25,4.75,8.25,3,6,9,33.33,
105497,Jose Hernandez,183,R,103.43,2.86,2.57,77.0,54.0,35.14,10.86,11.71,3.57,6.86,4,9,13,30.769999999999996,
105502,N Sriram Balaji,180,R,66.0,4.0,4.0,59.0,28.0,17.0,9.0,8.0,3.0,8.0,1,2,3,33.33,
105512,Alexander Sarkissian,191,R,87.5,5.25,2.0,66.5,37.5,24.25,15.5,10.25,4.75,8.25,2,4,6,33.33,
105526,Jan Lennard Struff,193,R,106.9,9.54,3.81,82.56,46.4,35.5,18.0,12.86,3.91,6.28,205,217,422,48.58,1
105528,Alexander Ward,185,R,113.67,4.33,4.33,102.33,64.33,42.67,15.0,15.0,9.0,14.0,0,3,3,0.0,
105539,Evgeny Donskoy,185,R,104.42,4.7,2.44,81.35,47.81,32.98,16.71,12.3,4.7,7.67,37,78,115,32.17,
105542,Bastian Trinker,191,R,63.0,3.0,3.0,63.0,41.0,30.0,8.0,10.0,2.0,5.0,1,2,3,33.33,
105550,Guido Pella,183,L,121.88,5.14,2.42,85.83,56.66,38.78,15.08,13.3,4.99,7.96,119,134,253,47.04,1
105554,Daniel Evans,175,R,123.99,4.27,2.92,82.36,49.93,35.35,16.54,12.75,4.56,7.38,143,158,301,47.510000000000005,2
105559,Jonathan Eysseric,180,L,57.0,1.0,5.0,55.0,30.0,19.0,8.0,7.0,5.0,9.0,0,1,1,0.0,
105561,Alessandro Giannessi,185,L,133.73,4.38,4.19,92.81,60.31,39.81,16.23,13.62,6.73,10.38,10,17,27,37.04,
105572,Austin Krajicek,188,L,106.91,8.41,3.36,78.68,48.14,34.73,15.77,12.18,3.73,6.09,11,21,32,34.38,
105575,Ricardas Berankis,175,R,109.08,3.49,3.16,82.95,49.21,34.01,17.01,12.71,4.32,7.48,84,106,190,44.21,
105577,Vasek Pospisil,193,R,110.16,9.29,3.37,81.3,47.8,36.07,16.34,12.69,3.84,6.22,88,113,201,43.78,
105578,Cristian Rodriguez,180,R,59.0,2.0,3.0,50.0,32.0,24.0,11.0,8.0,3.0,3.0,1,0,1,100.0,
105579,Kittipong Wachiramanowong,183,R,128.5,6.17,2.33,88.83,53.67,36.17,18.17,14.33,4.0,7.83,3,3,6,50.0,
105583,Dusan Lajovic,183,R,108.96,3.46,1.61,80.24,54.2,36.66,13.45,12.47,4.22,7.05,183,226,409,44.74,2
105585,Ze Zhang,188,R,104.95,5.21,4.63,81.89,52.79,35.47,13.58,12.53,5.05,8.26,10,16,26,38.46,
